L1,L2,L3,L4
0.512296499,0.330849017,0.595660614,0.350887799
0.485828677,0.319139957,0.557058857,0.351317018
0.478643641,0.308910924,0.543126776,0.374901067
0.477259381,0.311358374,0.528192562,0.40538712
0.486022931,0.315508294,0.550511947,0.452890495
0.481380815,0.334595281,0.58392978,0.502012268
0.533103917,0.396875258,0.69826399,0.528919606
0.581272529,0.443567382,0.844581733,0.535088051
0.626418419,0.471076672,0.843852651,0.548122138
0.653937753,0.483501473,0.910268842,0.541737221
0.682023018,0.479865948,0.941500877,0.521955648
0.703764219,0.49730742,0.954702358,0.515140379
0.708645261,0.508971245,0.962267955,0.512582962
0.724122026,0.509021168,0.950282829,0.784070579
0.726628364,0.506832434,0.937773048,0.769771268
0.715934303,0.487842258,0.891854538,0.768749807
0.694443549,0.50042386,0.807403034,0.761536092
0.675004681,0.507707321,0.759575641,0.753641215
0.692284405,0.505877836,0.747391468,0.758732563
0.796132154,0.541224149,0.764143111,0.825900325
0.758970886,0.574349044,0.748748177,0.869393093
0.710033782,0.533124412,0.726304232,0.796744851
0.637639264,0.449369575,0.276609338,0.441857945
0.571057259,0.402638562,0.292003168,0.38888219
0.527064107,0.368804959,0.294324492,0.35368323
0.485606147,0.354778497,0.285970224,0.354281464
0.471053883,0.340348931,0.295001502,0.378308904
0.463655489,0.309923443,0.299160531,0.410246933
0.495194381,0.29730571,0.307173192,0.428217363
0.430087714,0.387023817,0.314979356,0.448583322
0.459802341,0.38091133,0.32435707,0.465248279
0.524417975,0.406749868,0.376725104,0.489660801
0.553500763,0.43506523,0.363097457,0.50456272
0.591374186,0.451214643,0.354200325,0.510654715
0.615595759,0.465027486,0.348402086,0.497013648
0.639440633,0.471091566,0.318950994,0.498401402
0.638786946,0.47342993,0.327322643,0.501721209
0.637579063,0.464945431,0.335219088,0.515366569
0.630980038,0.466434559,0.314781343,0.558443561
0.627754215,0.461056156,0.293722936,0.57106576
0.619664973,0.466656452,0.289169467,0.568765551
0.619308354,0.475513165,0.277349593,0.548645786
0.642306768,0.475665277,0.250599918,0.522279749
0.743843806,0.530564292,0.232657577,0.540338291
0.715942862,0.552265873,0.228840707,0.586523558
0.6869678,0.521128505,0.223942733,0.528776425
0.628362833,0.442981412,0.28290292,0.71961702
0.558005648,0.398398587,0.327367749,0.643568715
0.508144333,0.356101309,0.30562378,0.591102678
0.477052813,0.342113186,0.309842607,0.559968908
0.447192396,0.324938566,0.315882242,0.535139476
0.44125977,0.323221614,0.319295154,0.532433777
0.437617235,0.334239204,0.305300311,0.513417671
0.373569628,0.325806971,0.32352605,0.485495028
0.40106509,0.353606281,0.348270974,0.512912084
0.447593218,0.372313195,0.352916656,0.578173547
0.489981133,0.400692407,0.351548153,0.637823659
0.524956389,0.402033974,0.34053509,0.660121589
0.553547602,0.417388074,0.285125203,0.703251707
0.581731999,0.422593265,0.281370751,0.718551666
0.593205096,0.42458286,0.229281012,0.70455961
0.584817955,0.415953971,0.215644192,0.48648952
0.571379679,0.416640476,0.232915042,0.516658599
0.575909338,0.403456355,0.187743063,0.540421219
0.568467392,0.417497159,0.162658532,0.550411658
0.569642375,0.431170163,0.136385302,0.533720786
0.624056282,0.448018631,0.123809448,0.523978809
0.751852695,0.500707122,0.10886144,0.539353031
0.73426413,0.518718567,0.129547684,0.552369706
0.679465111,0.467030182,0.131178135,0.497634477
0.604142127,0.392677897,0.215341207,0.423733401
0.529924066,0.343477783,0.239685483,0.369618109
0.478693261,0.318146332,0.243374206,0.343140719
0.450593658,0.305871989,0.229851877,0.347877435
0.451374717,0.300367124,0.241247447,0.367832234
0.45404147,0.304213372,0.262634358,0.397340478
0.470468738,0.308140847,0.263627319,0.43883025
0.463549785,0.319211394,0.274324292,0.477289979
0.512780779,0.365876487,0.363819366,0.516895156
0.566850128,0.402349921,0.365955229,0.523677951
0.621911222,0.420214218,0.352527251,0.538491434
0.652503114,0.42562365,0.372038867,0.530769783
0.672177838,0.416729564,0.322844558,0.526145717
0.696772136,0.431763028,0.347272977,0.53388235
0.697164435,0.433292839,0.360102641,0.537806465
0.711094503,0.429165811,0.372470827,0.56398567
0.725498991,0.427499609,0.354921614,0.596104942
0.716826844,0.431126308,0.312075235,0.607261156
0.70144224,0.447979603,0.270591566,0.596092633
0.685586321,0.464855377,0.234389345,0.584686257
0.714996223,0.472061472,0.203752245,0.552917568
0.804062136,0.518268573,0.198530318,0.585873008
0.769083557,0.535927526,0.202625344,0.614157329
0.711253943,0.483018382,0.192852982,0.533647252
0.620359649,0.382744952,0.255221737,0.448413173
0.544058752,0.339399988,0.265513925,0.392262006
0.501795176,0.31069159,0.261284684,0.366468775
0.471883406,0.304916702,0.247879603,0.365140787
0.4683075,0.298331192,0.24635709,0.394853194
0.473836379,0.298121572,0.27226064,0.422376826
0.496825765,0.309273208,0.299653391,0.467350561
0.484152477,0.321632089,0.299317369,0.509943669
0.529033475,0.386980513,0.361864066,0.537343719
0.587766428,0.410911511,0.778236444,0.721621554
0.638087936,0.428312852,0.81080629,0.759314357
0.680125696,0.445957185,0.873468788,0.75777095
0.709476987,0.432849052,0.85125065,0.781921163
0.733989814,0.443142902,0.857181589,0.788551545
0.732158037,0.444351939,0.882220255,0.761387242
0.743830732,0.450397402,0.904690616,0.747924665
0.749410567,0.443009545,0.854981238,0.733718162
0.735803425,0.439473176,0.806899622,0.726090291
0.708498677,0.444060678,0.760262859,0.747611821
0.690907801,0.449124513,0.713372078,0.770150843
0.716103314,0.455522193,0.726417687,0.78836196
0.814380545,0.51283087,0.763836333,0.853629011
0.780058291,0.537205103,0.769042258,0.898112222
0.718768261,0.47898458,0.721105962,0.810305258
0.649396068,0.380318327,0.257411397,0.446938684
0.205620571,0.333329978,0.25559652,0.387249861
-0.000627,0.314996105,0.227854988,0.358289075
-0.000308769,0.302307073,0.231034781,0.363103293
-0.006041002,0.295391826,0.217689843,0.39156902
-0.021898113,0.297350668,0.228218598,0.422701574
0.087975218,0.304603099,0.234970762,0.46211911
0.438216572,0.324385969,0.258923426,0.506827215
0.433502085,0.372386424,0.327043383,0.531078821
0.494086893,0.404405574,0.339663033,0.539041483
0.525664896,0.383222527,0.381955169,0.546026253
0.556227717,0.43435528,0.370558426,0.546387283
0.591625716,0.4335459,0.358932289,0.528845586
0.643605945,0.452847885,0.350203375,0.527386079
0.654740985,0.454980077,0.354061834,0.525092592
0.665344546,0.45831979,0.321101686,0.54630395
0.670655842,0.467657111,0.345508173,0.586857458
0.66743121,0.453433028,0.322366113,0.609266014
0.712343446,0.4604244,0.289166501,0.597010918
0.702684936,0.477502347,0.262936309,0.575989388
0.721226315,0.477678593,0.236985238,0.547391089
0.822292037,0.531137575,0.214871176,0.571076126
0.792046617,0.559762539,0.216041321,0.607725603
0.724865275,0.49488838,0.243808855,0.529709207
0.633784961,0.39226114,0.30436156,0.43520262
0.551784549,0.352924189,0.328541688,0.376717312
0.503080521,0.321791648,0.32975487,0.349575523
0.472454502,0.311092625,0.33128297,0.349904078
0.455310781,0.305340906,0.352166883,0.374354744
0.45583865,0.303187062,0.363641906,0.409535401
0.483275718,0.317180564,0.378517634,0.446192329
0.475800475,0.328054316,0.372553315,0.487892824
0.518482749,0.39420564,0.395993877,0.512959541
0.586099834,0.414865741,0.430581993,0.531967547
0.6411047,0.448261073,0.429619379,0.541905265
0.679909847,0.460233536,0.438935158,0.541199402
0.715245983,0.455999629,0.379786614,0.53488729
0.736768409,0.474244276,0.398935241,0.535900571
0.742887994,0.476326131,0.394514746,0.541108294
0.757365973,0.490516703,0.39085499,0.569746681
0.77038306,0.49346986,0.382415888,0.600776384
0.763175164,0.473406486,0.352307443,0.616932919
0.731464733,0.473287885,0.343257543,0.614562901
0.709860041,0.488861672,0.327658803,0.594733871
0.738638249,0.486244045,0.282104592,0.566451169
0.828709918,0.543552308,0.240739138,0.592768857
0.7826526,0.556862615,0.2117398,0.619277508
0.721828866,0.506811747,0.217378995,0.547072333
0.636987094,0.408326292,0.257300493,0.45171079
0.554692575,0.357258493,0.263241708,0.392297154
0.50877303,0.328565816,0.266036097,0.357961248
0.47997774,0.318905514,0.258986189,0.361152937
0.459297621,0.311562201,0.276412497,0.386914666
0.460879602,0.313118353,0.315195852,0.417218584
0.48227397,0.322300252,0.31297019,0.462914947
0.47123463,0.346379362,0.331077646,0.503401966
0.513549812,0.39920259,0.366935017,0.534322664
0.578935021,0.433442469,0.41257813,0.559889624
0.632509835,0.448986192,0.411752904,0.565878283
0.669708733,0.453732701,0.416314787,0.570564788
0.711818864,0.44500176,0.369796859,0.551025036
0.744692288,0.448233629,0.379184988,0.557550866
0.752969933,0.444401862,0.367741001,0.542532167
0.769167232,0.444634788,0.373254878,0.554995636
0.761968978,0.459178266,0.396081124,0.595907744
0.737208631,0.457055313,0.409869402,0.606019579
0.702447671,0.45653416,0.387907212,0.584703183
0.689848886,0.462875021,0.35523391,0.570234047
0.706219709,0.479622127,0.335259919,0.554625617
0.796423733,0.524579095,0.344011799,0.582823042
0.763752652,0.532237527,0.322350112,0.605424179
0.711310172,0.48068319,0.305678611,0.532231558
0.640338375,0.404777236,0.342260099,0.455961274
0.570864992,0.364408873,0.366369808,0.397721916
0.524862927,0.339397506,0.366448986,0.375782667
0.495400913,0.325132326,0.351272342,0.368708651
0.477768254,0.311755134,0.350403733,0.386243464
0.468532992,0.307973014,0.361890344,0.416755838
0.470086009,0.312325383,0.34431644,0.442433585
0.432402506,0.311474216,0.36331023,0.451426048
0.454755503,0.356561783,0.402239939,0.470258156
0.510338145,0.389212275,0.398845925,0.490742919
0.573865432,0.412901796,0.380211193,0.496418734
0.613806199,0.435733531,0.379621775,0.516303076
0.643257704,0.434413478,0.365992197,0.512453872
0.660560215,0.440272351,0.351462078,0.502416058
0.659810177,0.446069718,0.3518041,0.502234085
0.651186169,0.446703129,0.324182783,0.527379439
0.645076372,0.456482307,0.315292962,0.568660108
0.644638534,0.44749003,0.275891636,0.576812922
0.643883007,0.459521518,0.273255809,0.562602208
0.636616246,0.462264917,0.268397768,0.540814886
0.667233923,0.458730479,0.239534783,0.51479012
0.760895329,0.508251505,0.231572196,0.555164165
0.734415554,0.536310358,0.205918386,0.576834707
0.689902117,0.491843928,0.234331065,0.518629849
0.62979274,0.415778,0.274503131,0.45316479
0.569701493,0.372507645,0.319593794,0.397260546
0.52240249,0.337930581,0.33761821,0.367888599
0.488852735,0.326157257,0.35306701,0.364074624
